timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,0.00020635,-0.00000164,1170.4,56.06343153,37.25900723,1198.2,7082037.98,7082037.98,0.00,1.50,2.00,8,1,1
1.00,-0.00006557,0.00021483,1141.3,56.06311712,37.25998268,1194.5,7082072.09,7082072.09,0.00,1.50,2.00,8,1,1
2.00,0.00010332,-0.00000800,1114.2,56.06280271,37.26095812,1190.8,7082079.21,7082079.21,0.00,1.50,2.00,8,1,1
3.00,0.00009278,0.00001530,1084.2,56.06248830,37.26193356,1187.1,7082094.49,7082094.49,0.00,1.50,2.00,8,1,1
4.00,0.00018567,-0.00004448,1049.6,56.06217389,37.26290899,1183.5,7082102.60,7082102.60,0.00,1.50,2.00,8,1,1
5.00,-0.00005854,-0.00001526,1010.0,56.06185948,37.26388441,1179.8,7082141.72,7082141.73,0.00,1.50,2.00,8,1,1
6.00,-0.00005834,-0.00002749,971.0,56.06154507,37.26485982,1176.1,7082157.39,7082157.40,0.00,1.50,2.00,8,1,1
7.00,0.00005638,0.00007381,922.8,56.06123066,37.26583523,1172.5,7082156.49,7082156.49,0.00,1.50,2.00,8,1,1
8.00,0.00003532,-0.00013607,873.6,56.06091625,37.26681062,1168.8,7082182.66,7082182.66,0.00,1.50,2.00,8,1,1
9.00,-0.00003808,-0.00012998,814.8,56.06060184,37.26778601,1165.1,7082205.15,7082205.16,0.00,1.50,2.00,8,1,1
10.00,-0.00001228,-0.00012769,755.3,56.06028742,37.26876139,1161.5,7082217.58,7082217.59,0.00,1.50,2.00,8,1,1
11.00,-0.00012923,0.00005630,699.7,56.05997301,37.26973676,1157.8,7082237.09,7082237.10,0.00,1.50,2.00,8,1,1
12.00,0.00009160,-0.00001533,637.9,56.05965860,37.27071213,1154.1,7082232.52,7082232.53,0.00,1.50,2.00,8,1,1
13.00,-0.00002298,-0.00003308,576.9,56.05934419,37.27168749,1150.5,7082260.26,7082260.28,0.00,1.50,2.00,8,1,1
14.00,-0.00005473,0.00002119,514.2,56.05902978,37.27266283,1146.8,7082276.44,7082276.47,0.00,1.50,2.00,8,1,1
15.00,0.00004421,-0.00005467,463.0,56.05871537,37.27363817,1143.1,7082284.62,7082284.65,0.00,1.50,2.00,8,1,1
16.00,0.00003721,0.00001702,402.9,56.05840096,37.27461351,1139.5,7082297.52,7082297.56,0.00,1.50,2.00,8,1,1
17.00,-0.00006464,-0.00004217,348.5,56.05808655,37.27558883,1135.8,7082325.69,7082325.74,0.00,1.50,2.00,8,1,1
18.00,-0.00013631,-0.00028711,303.9,56.05777214,37.27656415,1132.1,7082358.57,7082358.62,0.00,1.50,2.00,8,1,1
19.00,-0.00002597,-0.00001238,252.9,56.05745773,37.27753946,1128.5,7082350.84,7082350.90,0.00,1.50,2.00,8,1,1
20.00,0.00005890,0.00010194,212.9,56.05714332,37.27851476,1124.8,7082352.49,7082352.55,0.00,1.50,2.00,8,1,1
21.00,0.00004642,-0.00003659,173.4,56.05682891,37.27949005,1121.1,7082374.79,7082374.85,0.00,1.50,2.00,8,1,1
22.00,-0.00008500,-0.00000675,143.1,56.05651450,37.28046534,1117.4,7082402.28,7082402.35,0.00,1.50,2.00,8,1,1
23.00,-0.00001826,0.00004584,121.2,56.05620009,37.28144061,1113.8,7082408.39,7082408.46,0.00,1.50,2.00,8,1,1
24.00,0.00000736,-0.00016749,95.1,56.05588568,37.28241588,1110.1,7082429.92,7082429.99,0.00,1.50,2.00,8,1,1
25.00,-0.00011144,0.00020489,66.4,56.05557127,37.28339114,1106.4,7082441.72,7082441.79,0.00,1.50,2.00,8,1,1
26.00,0.00003179,0.00010276,66.6,56.05525686,37.28436640,1102.8,7082446.45,7082446.52,0.00,1.50,2.00,8,1,1
27.00,-0.00008862,-0.00011276,52.5,56.05494245,37.28534164,1099.1,7082483.12,7082483.20,0.00,1.50,2.00,8,1,1
28.00,0.00012074,0.00004841,44.6,56.05462804,37.28631688,1095.4,7082469.97,7082470.05,0.00,1.50,2.00,8,1,1
29.00,-0.00002764,0.00008438,35.8,56.05431363,37.28729211,1091.8,7082498.96,7082499.04,0.00,1.50,2.00,8,1,1
30.00,0.00006758,0.00007370,30.4,56.05399922,37.28826733,1088.1,7082504.81,7082504.89,0.00,1.50,2.00,8,1,1
31.00,0.00012912,-0.00018345,20.3,56.05368481,37.28924254,1084.4,7082524.48,7082524.56,0.00,1.50,2.00,8,1,1
32.00,-0.00003755,0.00000323,24.1,56.05337040,37.29021775,1080.8,7082549.03,7082549.11,0.00,1.50,2.00,8,1,1
33.00,-0.00000295,-0.00000232,18.7,56.05305599,37.29119295,1077.1,7082560.91,7082560.99,0.00,1.50,2.00,8,1,1
34.00,-0.00000365,-0.00009106,-0.1,56.05274158,37.29216814,1073.4,7082579.92,7082580.00,0.00,1.50,2.00,8,1,1
35.00,0.00007341,0.00008979,-11.6,56.05242717,37.29314332,1069.8,7082579.59,7082579.68,0.00,1.50,2.00,8,1,1
36.00,-0.00007109,0.00005908,-16.7,56.05211276,37.29411849,1066.1,7082611.00,7082611.08,0.00,1.50,2.00,8,1,1
37.00,0.00007914,-0.00014034,-15.3,56.05179835,37.29509366,1062.4,7082619.11,7082619.19,0.00,1.50,2.00,8,1,1
38.00,-0.00004749,0.00000718,-17.1,56.05148394,37.29606882,1058.8,7082641.18,7082641.26,0.00,1.50,2.00,8,1,1
39.00,-0.00016633,-0.00029022,-13.9,56.05116952,37.29704397,1055.1,7082681.16,7082681.24,0.00,1.50,2.00,8,1,1
40.00,0.00019095,-0.00007625,-29.3,56.05085511,37.29801911,1051.4,7082650.56,7082650.64,0.00,1.50,2.00,8,1,1
41.00,-0.00001599,0.00007984,-6.3,56.05054070,37.29899424,1047.7,7082680.55,7082680.63,0.00,1.50,2.00,8,1,1
42.00,-0.00013173,-0.00006677,-8.9,56.05022629,37.29996937,1044.1,7082713.87,7082713.94,0.00,1.50,2.00,8,1,1
43.00,-0.00003321,0.00007072,-7.9,56.04991188,37.30094449,1040.4,7082713.16,7082713.23,0.00,1.50,2.00,8,1,1
44.00,-0.00002221,0.00007117,-0.7,56.04959747,37.30191960,1036.7,7082727.23,7082727.31,0.00,1.50,2.00,8,1,1
45.00,0.00011636,-0.00003123,4.7,56.04928306,37.30289470,1033.1,7082732.48,7082732.56,0.00,1.50,2.00,8,1,1
46.00,0.00002312,-0.00002477,-4.0,56.04896865,37.30386979,1029.4,7082757.05,7082757.13,0.00,1.50,2.00,8,1,1
47.00,0.00015706,-0.00014164,-2.6,56.04865424,37.30484488,1025.7,7082763.39,7082763.47,0.00,1.50,2.00,8,1,1
48.00,-0.00008995,-0.00005703,4.7,56.04833983,37.30581996,1022.1,7082800.53,7082800.60,0.00,1.50,2.00,8,1,1
49.00,-0.00009106,-0.00007855,4.6,56.04802542,37.30679503,1018.4,7082816.78,7082816.85,0.00,1.50,2.00,8,1,1
50.00,0.00001651,-0.00015980,-4.8,56.04771101,37.30777009,1014.7,7082824.35,7082824.42,0.00,1.50,2.00,8,1,1
51.00,0.00004376,0.00004298,4.9,56.04739660,37.30874515,1011.1,7082828.24,7082828.32,0.00,1.50,2.00,8,1,1
52.00,-0.00010812,-0.00003038,28.9,56.04708219,37.30972019,1007.4,7082862.22,7082862.29,0.00,1.50,2.00,8,1,1
53.00,0.00019417,0.00016848,52.4,56.04676778,37.31069523,1003.7,7082837.94,7082838.01,0.00,1.50,2.00,8,1,1
54.00,-0.00013764,-0.00007394,35.3,56.04645337,37.31167026,1000.1,7082897.58,7082897.64,0.00,1.50,2.00,8,1,1
55.00,-0.00017589,-0.00000342,18.3,56.04613896,37.31264528,996.4,7082913.80,7082913.86,0.00,1.50,2.00,8,1,1
56.00,-0.00008724,0.00000154,2.5,56.04582455,37.31362030,992.7,7082919.69,7082919.76,0.00,1.50,2.00,8,1,1
57.00,-0.00000159,-0.00001786,30.3,56.04551014,37.31459531,989.0,7082926.93,7082926.99,0.00,1.50,2.00,8,1,1
58.00,0.00003251,0.00016209,18.2,56.04519573,37.31557031,985.4,7082931.09,7082931.15,0.00,1.50,2.00,8,1,1
59.00,-0.00006644,-0.00014510,3.4,56.04488132,37.31654530,981.7,7082969.46,7082969.52,0.00,1.50,2.00,8,1,1
60.00,0.00010559,-0.00015189,7.2,56.04456691,37.31752028,978.0,7082967.26,7082967.33,0.00,1.50,2.00,8,1,1
61.00,0.00006137,-0.00000273,-1.8,56.04425250,37.31849525,974.4,7082980.79,7082980.86,0.00,1.50,2.00,8,1,1
62.00,-0.00001711,-0.00001079,15.7,56.04393809,37.31947022,970.7,7083004.47,7083004.54,0.00,1.50,2.00,8,1,1
63.00,-0.00011385,0.00003988,26.3,56.04362368,37.32044518,967.0,7083027.56,7083027.63,0.00,1.50,2.00,8,1,1
64.00,-0.00003274,-0.00024026,3.9,56.04330927,37.32142013,963.4,7083046.25,7083046.31,0.00,1.50,2.00,8,1,1
65.00,-0.00003336,0.00002104,14.8,56.04299486,37.32239508,959.7,7083050.57,7083050.63,0.00,1.50,2.00,8,1,1
66.00,0.00004345,-0.00008770,13.0,56.04268045,37.32337001,956.0,7083062.49,7083062.55,0.00,1.50,2.00,8,1,1
67.00,0.00002073,0.00006819,-7.8,56.04236603,37.32434494,952.4,7083073.53,7083073.59,0.00,1.50,2.00,8,1,1
68.00,-0.00005935,0.00006985,-42.2,56.04205162,37.32531986,948.7,7083096.97,7083097.04,0.00,1.50,2.00,8,1,1
69.00,-0.00003582,-0.00002982,-19.8,56.04173721,37.32629477,945.0,7083114.00,7083114.06,0.00,1.50,2.00,8,1,1
70.00,0.00018264,-0.00004959,-29.8,56.04142280,37.32726967,941.4,7083107.58,7083107.64,0.00,1.50,2.00,8,1,1
71.00,-0.00015985,0.00006090,-12.3,56.04110839,37.32824457,937.7,7083153.49,7083153.55,0.00,1.50,2.00,8,1,1
72.00,-0.00002808,-0.00000035,5.4,56.04079398,37.32921946,934.0,7083157.75,7083157.81,0.00,1.50,2.00,8,1,1
73.00,-0.00003584,-0.00012043,-25.3,56.04047957,37.33019434,930.4,7083178.87,7083178.93,0.00,1.50,2.00,8,1,1
74.00,0.00005680,0.00002783,-18.8,56.04016516,37.33116921,926.7,7083178.35,7083178.41,0.00,1.50,2.00,8,1,1
75.00,-0.00006619,-0.00002570,-1.5,56.03985075,37.33214407,923.0,7083208.55,7083208.61,0.00,1.50,2.00,8,1,1
76.00,0.00010908,-0.00002688,-24.9,56.03953634,37.33311893,919.3,7083205.80,7083205.87,0.00,1.50,2.00,8,1,1
77.00,-0.00003302,0.00002715,-1.9,56.03922193,37.33409378,915.7,7083233.44,7083233.50,0.00,1.50,2.00,8,1,1
78.00,0.00006662,0.00000553,-5.2,56.03890752,37.33506862,912.0,7083239.36,7083239.42,0.00,1.50,2.00,8,1,1
79.00,0.00003316,-0.00004339,-30.2,56.03859311,37.33604345,908.3,7083260.14,7083260.20,0.00,1.50,2.00,8,1,1
80.00,0.00003469,0.00010848,-19.6,56.03827870,37.33701827,904.7,7083268.86,7083268.93,0.00,1.50,2.00,8,1,1
81.00,-0.00013517,0.00004583,-41.6,56.03796429,37.33799309,901.0,7083304.28,7083304.34,0.00,1.50,2.00,8,1,1
82.00,0.00008997,-0.00021554,-94.7,56.03764988,37.33896790,897.3,7083307.36,7083307.43,0.00,1.50,2.00,8,1,1
83.00,-0.00015398,0.00001520,-22.2,56.03733547,37.33994270,893.7,7083338.07,7083338.13,0.00,1.50,2.00,8,1,1
84.00,-0.00003572,-0.00000656,-36.1,56.03702106,37.34091749,890.0,7083342.08,7083342.14,0.00,1.50,2.00,8,1,1
85.00,0.00007365,0.00007402,-3.3,56.03670665,37.34189227,886.3,7083342.70,7083342.75,0.00,1.50,2.00,8,1,1
86.00,-0.00003622,-0.00001856,-28.6,56.03639224,37.34286705,882.7,7083373.20,7083373.26,0.00,1.50,2.00,8,1,1
87.00,0.00004607,-0.00000303,-56.7,56.03607783,37.34384182,879.0,7083379.35,7083379.41,0.00,1.50,2.00,8,1,1
88.00,0.00014198,-0.00005063,-6.1,56.03576342,37.34481658,875.3,7083386.76,7083386.81,0.00,1.50,2.00,8,1,1
89.00,0.00002814,0.00000991,8.8,56.03544901,37.34579133,871.7,7083411.23,7083411.28,0.00,1.50,2.00,8,1,1
90.00,0.00004066,-0.00013977,-37.5,56.03513460,37.34676608,868.0,7083431.53,7083431.58,0.00,1.50,2.00,8,1,1
91.00,0.00013771,0.00003313,-15.7,56.03482019,37.34774081,864.3,7083429.54,7083429.59,0.00,1.50,2.00,8,1,1
92.00,0.00000788,-0.00007218,6.7,56.03450578,37.34871554,860.6,7083462.64,7083462.69,0.00,1.50,2.00,8,1,1
93.00,-0.00007853,0.00012217,-43.9,56.03419137,37.34969026,857.0,7083478.65,7083478.71,0.00,1.50,2.00,8,1,1
94.00,-0.00007202,0.00006215,-14.0,56.03387696,37.35066498,853.3,7083495.80,7083495.86,0.00,1.50,2.00,8,1,1
95.00,0.00002977,0.00008702,-21.6,56.03356255,37.35163968,849.6,7083499.56,7083499.61,0.00,1.50,2.00,8,1,1
96.00,-0.00004733,-0.00005493,14.7,56.03324813,37.35261438,846.0,7083528.78,7083528.83,0.00,1.50,2.00,8,1,1
97.00,-0.00004644,-0.00011546,6.4,56.03293372,37.35358907,842.3,7083546.54,7083546.58,0.00,1.50,2.00,8,1,1
98.00,0.00005911,0.00009693,-2.0,56.03261931,37.35456375,838.6,7083542.01,7083542.06,0.00,1.50,2.00,8,1,1
99.00,0.00008910,-0.00007565,-16.2,56.03230490,37.35553842,835.0,7083561.49,7083561.54,0.00,1.50,2.00,8,1,1
100.00,0.00007571,0.00013392,7.7,56.03199049,37.35651309,831.3,7083569.35,7083569.39,0.00,1.50,2.00,8,1,1
101.00,0.00000650,0.00002187,-12.5,56.03167608,37.35748774,827.6,7083596.50,7083596.55,0.00,1.50,2.00,8,1,1
102.00,-0.00004952,0.00001065,-22.4,56.03136167,37.35846239,824.0,7083618.05,7083618.10,0.00,1.50,2.00,8,1,1
103.00,0.00016248,0.00014471,32.2,56.03104726,37.35943704,820.3,7083605.86,7083605.91,0.00,1.50,2.00,8,1,1
104.00,0.00005876,-0.00004370,0.3,56.03073285,37.36041167,816.6,7083639.80,7083639.84,0.00,1.50,2.00,8,1,1
105.00,0.00014950,0.00009992,-25.0,56.03041844,37.36138629,813.0,7083639.70,7083639.75,0.00,1.50,2.00,8,1,1
106.00,-0.00000794,0.00004735,-19.1,56.03010403,37.36236091,809.3,7083673.45,7083673.50,0.00,1.50,2.00,8,1,1
107.00,0.00001479,-0.00001271,0.8,56.02978962,37.36333552,805.6,7083688.95,7083689.00,0.00,1.50,2.00,8,1,1
108.00,-0.00012316,0.00005329,-6.4,56.02947521,37.36431012,802.0,7083715.70,7083715.74,0.00,1.50,2.00,8,1,1
109.00,0.00021944,-0.00009781,2.4,56.02916080,37.36528472,798.3,7083702.07,7083702.12,0.00,1.50,2.00,8,1,1
110.00,0.00013231,-0.00000164,-3.6,56.02884639,37.36625930,794.6,7083722.32,7083722.36,0.00,1.50,2.00,8,1,1
111.00,0.00002859,-0.00004133,-68.0,56.02853198,37.36723388,790.9,7083749.99,7083750.04,0.00,1.50,2.00,8,1,1
112.00,0.00009861,0.00020791,-33.7,56.02821757,37.36820845,787.3,7083747.59,7083747.64,0.00,1.50,2.00,8,1,1
113.00,-0.00000202,-0.00005879,-52.1,56.02790316,37.36918301,783.6,7083784.52,7083784.57,0.00,1.50,2.00,8,1,1
114.00,0.00003375,-0.00002705,-7.3,56.02758875,37.37015757,779.9,7083794.82,7083794.86,0.00,1.50,2.00,8,1,1
115.00,-0.00011677,0.00013715,-15.3,56.02727434,37.37113211,776.3,7083818.73,7083818.77,0.00,1.50,2.00,8,1,1
116.00,0.00007491,0.00016845,0.5,56.02695993,37.37210665,772.6,7083812.98,7083813.02,0.00,1.50,2.00,8,1,1
117.00,0.00008198,-0.00008185,-48.4,56.02664552,37.37308118,768.9,7083838.12,7083838.17,0.00,1.50,2.00,8,1,1
118.00,0.00001119,-0.00000725,-70.1,56.02633111,37.37405571,765.3,7083857.60,7083857.65,0.00,1.50,2.00,8,1,1
119.00,-0.00000463,-0.00006312,-5.6,56.02601670,37.37503022,761.6,7083876.91,7083876.95,0.00,1.50,2.00,8,1,1
120.00,-0.00008185,0.00009951,23.6,56.02570229,37.37600473,757.9,7083893.34,7083893.38,0.00,1.50,2.00,8,1,1
121.00,0.00012654,0.00000642,16.6,56.02538788,37.37697923,754.3,7083891.12,7083891.16,0.00,1.50,2.00,8,1,1
122.00,0.00020653,0.00004094,27.1,56.02507347,37.37795372,750.6,7083896.76,7083896.80,0.00,1.50,2.00,8,1,1
123.00,-0.00001077,0.00002961,43.4,56.02475906,37.37892820,746.9,7083934.96,7083934.99,0.00,1.50,2.00,8,1,1
124.00,-0.00013990,-0.00000938,25.5,56.02444465,37.37990267,743.3,7083965.24,7083965.27,0.00,1.50,2.00,8,1,1
125.00,0.00011669,0.00005253,45.1,56.02413023,37.38087714,739.6,7083951.53,7083951.56,0.00,1.50,2.00,8,1,1
126.00,-0.00002601,-0.00009941,52.9,56.02381582,37.38185160,735.9,7083987.97,7083988.00,0.00,1.50,2.00,8,1,1
127.00,-0.00011057,-0.00016427,14.1,56.02350141,37.38282605,732.3,7084014.75,7084014.79,0.00,1.50,2.00,8,1,1
128.00,-0.00005131,-0.00000043,22.5,56.02318700,37.38380049,728.6,7084017.08,7084017.12,0.00,1.50,2.00,8,1,1
129.00,0.00011715,0.00013329,-44.9,56.02287259,37.38477493,724.9,7084009.43,7084009.47,0.00,1.50,2.00,8,1,1
130.00,0.00000386,-0.00002793,-93.1,56.02255818,37.38574936,721.2,7084043.24,7084043.28,0.00,1.50,2.00,8,1,1
131.00,0.00016934,-0.00010419,-88.0,56.02224377,37.38672378,717.6,7084044.75,7084044.79,0.00,1.50,2.00,8,1,1
132.00,0.00000069,-0.00009629,-55.5,56.02192936,37.38769819,713.9,7084077.13,7084077.18,0.00,1.50,2.00,8,1,1
133.00,-0.00005733,-0.00004979,37.8,56.02161495,37.38867259,710.2,7084096.50,7084096.53,0.00,1.50,2.00,8,1,1
134.00,0.00002449,-0.00002092,51.1,56.02130054,37.38964699,706.6,7084102.20,7084102.23,0.00,1.50,2.00,8,1,1
135.00,0.00001092,0.00008746,4.8,56.02098613,37.39062137,702.9,7084114.37,7084114.41,0.00,1.50,2.00,8,1,1
136.00,-0.00008387,0.00006633,-16.4,56.02067172,37.39159575,699.2,7084140.38,7084140.41,0.00,1.50,2.00,8,1,1
137.00,0.00005846,0.00008863,8.1,56.02035731,37.39257012,695.6,7084140.13,7084140.16,0.00,1.50,2.00,8,1,1
138.00,-0.00020254,-0.00014717,22.5,56.02004290,37.39354449,691.9,7084192.31,7084192.34,0.00,1.50,2.00,8,1,1
139.00,-0.00001901,0.00013908,-51.0,56.01972849,37.39451884,688.2,7084176.68,7084176.72,0.00,1.50,2.00,8,1,1
140.00,0.00000217,-0.00005740,-34.3,56.01941408,37.39549319,684.6,7084198.14,7084198.18,0.00,1.50,2.00,8,1,1
141.00,0.00009326,-0.00026724,-35.3,56.01909967,37.39646753,680.9,7084212.96,7084213.00,0.00,1.50,2.00,8,1,1
142.00,0.00001061,-0.00000944,-9.7,56.01878526,37.39744186,677.2,7084225.96,7084226.00,0.00,1.50,2.00,8,1,1
143.00,0.00012177,-0.00008618,-0.4,56.01847085,37.39841619,673.6,7084233.11,7084233.14,0.00,1.50,2.00,8,1,1
144.00,0.00009809,0.00002629,-19.6,56.01815644,37.39939050,669.9,7084246.16,7084246.20,0.00,1.50,2.00,8,1,1
145.00,0.00006311,-0.00000574,-44.8,56.01784203,37.40036481,666.2,7084266.48,7084266.52,0.00,1.50,2.00,8,1,1
146.00,0.00006571,0.00008770,-52.3,56.01752762,37.40133911,662.5,7084277.63,7084277.67,0.00,1.50,2.00,8,1,1
147.00,-0.00002273,-0.00015105,-2.8,56.01721321,37.40231341,658.9,7084312.18,7084312.21,0.00,1.50,2.00,8,1,1
148.00,-0.00007250,-0.00001791,-1.2,56.01689880,37.40328769,655.2,7084327.06,7084327.09,0.00,1.50,2.00,8,1,1
149.00,-0.00003002,-0.00009589,26.9,56.01658439,37.40426197,651.5,7084341.34,7084341.36,0.00,1.50,2.00,8,1,1
150.00,-0.00026665,-0.00004305,49.3,56.01626998,37.40523624,647.9,7084378.85,7084378.88,0.00,1.50,2.00,8,1,1
151.00,-0.00003453,-0.00002446,13.2,56.01595557,37.40621050,644.2,7084369.53,7084369.55,0.00,1.50,2.00,8,1,1
152.00,0.00013060,-0.00004227,-6.7,56.01564116,37.40718475,640.5,7084368.64,7084368.67,0.00,1.50,2.00,8,1,1
153.00,-0.00004215,0.00005564,20.8,56.01532674,37.40815899,636.9,7084397.67,7084397.70,0.00,1.50,2.00,8,1,1
154.00,0.00015357,-0.00006115,-34.1,56.01501233,37.40913323,633.2,7084397.81,7084397.84,0.00,1.50,2.00,8,1,1
155.00,0.00001185,-0.00003331,17.0,56.01469792,37.41010746,629.5,7084426.61,7084426.64,0.00,1.50,2.00,8,1,1
156.00,-0.00021978,0.00005533,48.5,56.01438351,37.41108168,625.9,7084462.11,7084462.13,0.00,1.50,2.00,8,1,1
157.00,0.00003288,0.00005055,-7.4,56.01406910,37.41205589,622.2,7084451.66,7084451.69,0.00,1.50,2.00,8,1,1
158.00,0.00003708,0.00002917,-39.6,56.01375469,37.41303010,618.5,7084467.51,7084467.54,0.00,1.50,2.00,8,1,1
159.00,0.00005957,0.00006603,-56.2,56.01344028,37.41400430,614.9,7084479.02,7084479.05,0.00,1.50,2.00,8,1,1
160.00,-0.00006548,-0.00018293,-19.2,56.01312587,37.41497848,611.2,7084517.78,7084517.81,0.00,1.50,2.00,8,1,1
161.00,0.00000207,0.00002286,26.0,56.01281146,37.41595267,607.5,7084517.53,7084517.55,0.00,1.50,2.00,8,1,1
162.00,0.00004406,-0.00000463,15.6,56.01249705,37.41692684,603.9,7084529.74,7084529.77,0.00,1.50,2.00,8,1,1
163.00,0.00028139,-0.00001445,53.9,56.01218264,37.41790101,600.2,7084521.10,7084521.12,0.00,1.50,2.00,8,1,1
164.00,-0.00007959,0.00005627,-45.2,56.01186823,37.41887516,596.5,7084570.68,7084570.71,0.00,1.50,2.00,8,1,1
165.00,0.00001029,-0.00008705,31.6,56.01155382,37.41984931,592.8,7084582.86,7084582.88,0.00,1.50,2.00,8,1,1
166.00,-0.00014946,-0.00015110,-10.4,56.01123941,37.42082345,589.2,7084617.41,7084617.43,0.00,1.50,2.00,8,1,1
167.00,0.00012432,0.00005618,-7.4,56.01092500,37.42179759,585.5,7084595.85,7084595.87,0.00,1.50,2.00,8,1,1
168.00,-0.00020873,-0.00000757,-35.5,56.01061059,37.42277171,581.8,7084648.24,7084648.26,0.00,1.50,2.00,8,1,1
169.00,0.00003487,-0.00001079,21.4,56.01029618,37.42374583,578.2,7084638.67,7084638.70,0.00,1.50,2.00,8,1,1
170.00,-0.00004030,-0.00021238,-33.5,56.00998177,37.42471994,574.5,7084670.32,7084670.35,0.00,1.50,2.00,8,1,1
171.00,0.00017863,0.00019483,-41.1,56.00966736,37.42569404,570.8,7084645.98,7084646.00,0.00,1.50,2.00,8,1,1
172.00,-0.00008473,0.00015864,21.7,56.00935295,37.42666814,567.2,7084690.03,7084690.05,0.00,1.50,2.00,8,1,1
173.00,-0.00010477,0.00005370,-1.4,56.00903854,37.42764222,563.5,7084711.92,7084711.94,0.00,1.50,2.00,8,1,1
174.00,-0.00016068,-0.00015376,10.4,56.00872413,37.42861630,559.8,7084741.84,7084741.86,0.00,1.50,2.00,8,1,1
175.00,0.00001856,-0.00001062,28.1,56.00840972,37.42959037,556.2,7084732.73,7084732.75,0.00,1.50,2.00,8,1,1
176.00,-0.00000531,0.00015224,-26.3,56.00809531,37.43056444,552.5,7084743.72,7084743.74,0.00,1.50,2.00,8,1,1
177.00,0.00014183,0.00001867,-9.4,56.00778090,37.43153849,548.8,7084749.61,7084749.63,0.00,1.50,2.00,8,1,1
178.00,-0.00009898,0.00005062,15.3,56.00746649,37.43251254,545.2,7084788.47,7084788.49,0.00,1.50,2.00,8,1,1
179.00,-0.00012332,0.00002993,-58.2,56.00715208,37.43348657,541.5,7084807.26,7084807.28,0.00,1.50,2.00,8,1,1
180.00,-0.00000741,0.00021139,5.1,56.00683767,37.43446061,537.8,7084803.06,7084803.08,0.00,1.50,2.00,8,1,1
181.00,0.00010938,0.00004008,16.5,56.00652326,37.43543463,534.1,7084813.67,7084813.69,0.00,1.50,2.00,8,1,1
182.00,-0.00010985,0.00014884,29.2,56.00620884,37.43640864,530.5,7084847.07,7084847.09,0.00,1.50,2.00,8,1,1
183.00,0.00004720,-0.00001651,-42.1,56.00589443,37.43738265,526.8,7084853.29,7084853.31,0.00,1.50,2.00,8,1,1
184.00,0.00000936,0.00001115,4.7,56.00558002,37.43835665,523.1,7084871.43,7084871.45,0.00,1.50,2.00,8,1,1
185.00,0.00004456,0.00008482,-25.4,56.00526561,37.43933064,519.5,7084880.11,7084880.13,0.00,1.50,2.00,8,1,1
186.00,-0.00016715,-0.00007617,50.6,56.00495120,37.44030462,515.8,7084924.13,7084924.15,0.00,1.50,2.00,8,1,1
187.00,0.00002979,-0.00008531,61.3,56.00463679,37.44127860,512.1,7084919.65,7084919.66,0.00,1.50,2.00,8,1,1
188.00,-0.00000962,0.00007635,56.0,56.00432238,37.44225257,508.5,7084932.30,7084932.31,0.00,1.50,2.00,8,1,1
189.00,-0.00000597,-0.00026242,-44.7,56.00400797,37.44322653,504.8,7084961.65,7084961.67,0.00,1.50,2.00,8,1,1
190.00,-0.00003814,-0.00009676,-27.8,56.00369356,37.44420048,501.1,7084973.39,7084973.41,0.00,1.50,2.00,8,1,1
191.00,0.00010126,0.00007868,4.5,56.00337915,37.44517442,497.5,7084967.04,7084967.06,0.00,1.50,2.00,8,1,1
192.00,-0.00011972,0.00003157,-18.3,56.00306474,37.44614836,493.8,7085007.22,7085007.24,0.00,1.50,2.00,8,1,1
193.00,0.00008409,0.00004381,-84.3,56.00275033,37.44712228,490.1,7085001.13,7085001.16,0.00,1.50,2.00,8,1,1
194.00,0.00012550,0.00002124,-15.6,56.00243592,37.44809620,486.5,7085013.25,7085013.27,0.00,1.50,2.00,8,1,1
195.00,-0.00004495,0.00008182,58.2,56.00212151,37.44907012,482.8,7085043.67,7085043.69,0.00,1.50,2.00,8,1,1
196.00,-0.00009284,-0.00000467,41.4,56.00180710,37.45004402,479.1,7085067.69,7085067.70,0.00,1.50,2.00,8,1,1
197.00,-0.00009511,-0.00003538,28.7,56.00149269,37.45101792,475.5,7085084.65,7085084.66,0.00,1.50,2.00,8,1,1
198.00,0.00001601,0.00014724,41.6,56.00117828,37.45199180,471.8,7085080.92,7085080.94,0.00,1.50,2.00,8,1,1
199.00,-0.00006593,0.00014610,9.7,56.00086387,37.45296568,468.1,7085104.84,7085104.86,0.00,1.50,2.00,8,1,1
200.00,-0.00001021,-0.00006796,29.3,56.00054946,37.45393956,464.4,7085123.58,7085123.59,0.00,1.50,2.00,8,1,1
201.00,0.00012054,0.00003701,53.1,56.00023505,37.45491342,460.8,7085121.11,7085121.13,0.00,1.50,2.00,8,1,1
202.00,0.00005093,0.00020502,23.3,55.99992064,37.45588728,457.1,7085136.62,7085136.64,0.00,1.50,2.00,8,1,1
203.00,-0.00000802,-0.00021754,68.6,55.99960623,37.45686113,453.4,7085175.98,7085176.00,0.00,1.50,2.00,8,1,1
204.00,-0.00004717,0.00000809,58.5,55.99929182,37.45783497,449.8,7085185.92,7085185.94,0.00,1.50,2.00,8,1,1
